Account ID,Account Name,Parent Account ID,Parent Account,Billing Street,Billing State/Province,Billing City,Billing Zip/Postal Code,Active?
001Hq000035dVMBIA2,2nd Swing,0013600000s0SuKAAU,First Tee Greater Dallas,4711 TX-121 Suite 200,TX,The Colony,75056,1
0013600000yOUdgAAG,3 Lakes Golf Course,0013600000pYUxQAAW,First Tee Pittsburgh,6700 Saltsburg Rd.,PA,Pittsburgh,15235,1
00136000015OKWkAAO,3's Greenville,0013600000pYUxZAAW,First Tee Upstate South Carolina,61 Villa Road,SC,Greenville,29615,1
001Hq000036mjljIAA,4 Majors Indoor Golf,0013600000s0SuOAAU,First Tee Florida Gold Coast,9701 W Sample Road,FL,Coral Springs,33065,1
0011R00002cJ5EsQAK,4200 Lovers Lane,0013600000s0SvPAAU,First Tee West Michigan,4200 Lovers Lane,MI,Kalamazoo,49001,1
0013600001ZG9agAAD,7 Lakes Golf Club,0013600000pYUxdAAG,First Tee Sandhills,124 Devonshire Drive,nc,Seven Lakes,27376,1
0011R000022L0jxQAC,76 Golf World,0013600000s0SuOAAU,First Tee Florida Gold Coast,6801 South Kanner Hwy,FL,Stuart,34997,0
0011R00002oN2i5QAC,8 Iron Therapy,0011R00002e5xbKQAQ,First Tee Greater Topeka,"2841 SE Croco Road
Suite 400",KS,Topeka,66605,1
0013600000rztgvAAA,A.C. Read Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,3495 Pensacola NAS,FL,Pensacola,32508,1
0011R00002oNVIQQA4,Abbott Elementary,0013600000s0SuxAAE,First Tee Omaha,1313 N 156th St,NE,Omaha,68118,1
0011R00002LgoMUQAZ,Accordia Garden Koshienhama,0013600000s0SuZAAU,First Tee Japan (Historical),"1-7-2 Koshienhama, Nishinomiya",,Hyogo,663-8155,1
0011R00002JebXfQAJ,Addison Links & Tees Golf Dome,0013600000pYUwuAAG,First Tee Greater Chicago,900 West Lake Street,Illinois,Addison,60101,1
001Hq000036nXnFIAU,Aero Club Short Course,0013600000pYUwkAAG,First Tee Coastal Carolinas,3101 S Kings Hwy,SC,Myrtle Beach,29577,1
0013600001hZpccAAC,A-Ga-Ming Resort,0013600000s0SuCAAU,First Tee Northern Michigan,627 A-Ga-Ming Drive,MI,Kewadin,49648,1
0013600000s0Rs5AAE,Aguila GC,0013600000s0RnDAAU,First Tee Phoenix,8440 South 35th Avenue,AZ,Phoenix,85339,1
0013600001c1yF6AAI,Aiken Golf Club,0013600000s0Su5AAE,First Tee Aiken,555 Highland Park Dr. SW,SC,Aiken,29801,1
001Hq000039SiEcIAK,Ain HALOUF (Rabat) and Royal Golf Dar Essalam,0011R00002BgHZvQAN,First Tee Morocco,,,,,1
0013600000pYWLdAAO,Airways Golf Course,0013600000pYUwrAAG,First Tee Fresno,5440 E. Airways Boulevard,CA,Fresno,93727,1
0013600001jrDeKAAU,Ala Wai Driving Range,0013600000s0DYFAA2,First Tee Hawaii,404 Kapahulu Ave,HI,Honolulu,96815,1
0011R000031YxMiQAK,Alaqua Country Club,0013600000pXnGIAA0,First Tee Central Florida,2091 Alaqua Dr,FL,Longwood,32779,1
0013600001c1yFCAAY,"Alfred ""Tup"" Holmes Golf Course",0013600000s0Su8AAE,First Tee Metro Atlanta,2300 Wilson Drive,GA,Atlanta,30311,1
0013600000pXnIQAA0,Algonkian Golf Course,0013600000pXnGKAA0,"First Tee Greater Washington, DC",47001 Fairway Drive,VA,Sterling,20165,1
0013600001c1yIWAAY,Alhambra Golf Course,0013600000s0SuzAAE,First Tee Greater Pasadena,630 S. Almansor Street,CA,Alhambra,91801,1
0013600000pYWJJAA4,Alico Family Golf,0013600000pYUxKAAW,First Tee Naples/Collier,16300 Lee Rd,FL,Fort Meyers,33912,0
0013600001c1yFcAAI,Alisal River Golf Course,0013600000s0SuFAAU,First Tee Central Coast,150 Alisal Road,CA,Solvang,93463,1
0013600000yOUfNAAW,All About Golf,0013600000pYUxQAAW,First Tee Pittsburgh,114 North,PA,Butler,16001,1
0011R00002rndbAQAQ,All Golf at CB Smith Park,0013600000s0SuOAAU,First Tee Florida Gold Coast,950 N Flamingo Rd,FL,Pembroke Pines,33028,1
0013600001c1yMQAAY,Allenmore Golf Course,0013600000s0SvDAAU,First Tee South Puget Sound,2125 S. Cedar St.,WA,Tacoma,98405,1
0013600001c1yJsAAI,Allentown Municipal Golf Course,0013600000s0SuiAAE,First Tee Lehigh Valley & Berks,3400 Tilghman Street,PA,Allentown,18104,1
0013600000pYWJZAA4,Alling Memorial Golf Course,0013600000pYUwpAAG,First Tee Connecticut,35 Eastern St,CT,New Haven,6513,1
0013600000pYWNrAAO,Alondra Park,0013600000pYUxCAAW,First Tee Los Angeles (Historical),16400 Prairie Avenue,CA,Los Angeles,90260,0
0013600000pYWOvAAO,Alpine Golf Course,0013600000pYUxcAAG,First Tee Piney Woods,2385 Smelly Road,TX,Longview,75605,1
0013600000pYWKOAA4,Alpine Target Golf Center,0013600000pYUxcAAG,First Tee Piney Woods,2695 Alpine Road,TX,Longview,75605,1
0013600001c1yIUAAY,Altadena Golf Course,0013600000s0SuzAAE,First Tee Greater Pasadena,1456 E. Mendocino,CA,Altadena,91001,1
0013600001jpLXNAA2,Alto Lakes Golf & Country Club,0013600000pYUxYAAW,First Tee Southeastern New Mexico,#1 Country Club Drive,NM,Alto,88312,1
0011R000026RkUzQAK,Alvin C. Ruxer Municipal Golf Course,0013600000pXnGGAA0,First Tee Indiana,400 Clay Street,IN,Jasper,47546,0
0013600001c1yGjAAI,American Classic Golf Club,0013600000s0SvOAAU,First Tee Delaware,18485 Bethpage Drive ,DE,Lewes,19958,1
0013600000pXnILAA0,Anaheim Hills Golf Course,0013600000pXnGHAA0,First Tee Orange County,6501 East Nohl Ranch Rd,CA,Anaheim,92807,1
0013600000pYWIAAA4,Anchor Golf Center,0013600000pYUxRAAW,First Tee Raritan Valley,21 Route 10,NJ,Whippany,7981,0
0013600001Q3xBYAAZ,Anderson Country Club,0013600000pXnGGAA0,First Tee Indiana,602 Northshore Blvd,IN,Anderson,46011,1
0013600001HUCacAAH,Anderson Creek Golf Club,0013600000pYUxdAAG,First Tee Sandhills,125 Whispering Pines Drive,NC,Spring Lake,28930,1
0013600000pYWO7AAO,Andrew Johnson GC,0013600000pYUxIAAW,First Tee Tennessee,615 Lick Hollow Rd.,TN,Greenville,37743,1
0011R000022IJUqQAO,Anytime golf,0013600000s0RnAAAU,First Tee Virginia Blue Ridge,2109 India Road,VA,Charlottesville,22901,1
0013600001gnvWbAAI,Applecross Country Club,0013600000pYUwzAAG,First Tee Greater Philadelphia,170 Zynn Road,PA,Downingtown,19335,1
0011R00002aFtEeQAK,Applecross Country Club,0013600000s0SvOAAU,First Tee Delaware,170 A Zynn Road,PA,Downingtown,19338,1
0013600001c1yGpAAI,Aqua Golf,0013600000s0SuMAAU,First Tee Colorado Rocky Mountains,501 W. Florida Avenue,CO,Denver,80223,1
0011R00001zfnLSQAY,Arcadia Par 3,0013600000s0SuzAAE,First Tee Greater Pasadena,620 Live Oak Avenue,CA,Arcadia,90116,1
0011R00002vuqRVQAY,Archie's Family Golf Centre,0011R00002e5u9CQAQ,First Tee Ontario,1719 Vincent Massey Drive,Ontario,Cornwall,K6H 5R6,1
0013600000pYWNdAAO,Area Golf,0013600000pYUx3AAG,First Tee Greater St. Louis,2901 Hawthorne Road,MO,Cape Girardeau,63701,0
0011R00002LgoMyQAJ,Arima CC,0013600000s0SuZAAU,First Tee Japan (Historical),"841 Nanzan, Nakauchigami, Mita",,Hyogo,669-1334,1
0013600001c1yFQAAY,Arkansas Golf Center,0013600000s0SuhAAE,First Tee Central Arkansas,5150 John W. Allison Road,AR,Conway,72034,1
0011R00002utYTCQA2,Arlen Bento Indoor Performance Center,0013600000s0SuOAAU,First Tee Florida Gold Coast,"2201 SE Indian St.
Unit C5",FL,"Stuart,",34997,1
0011R000028SAvEQAW,Armco Park Golf Course,0013600000pYUwxAAG,First Tee Greater Miami Valley (Historical),1223 North State Route 741,OH,Lebanon,45036,0
0011R00002cMWTIQA4,Armco Park Golf Course,0013600000s0SuyAAE,First Tee Greater Cincinnati & Northern Kentucky,1223 North State Route 741,OH,Lebanon,45036,1
00136000017kibeAAA,Arnold Golf Club,0013600000pYUx3AAG,First Tee Greater St. Louis,1 Golfview Drive,MO,Arnold,63010,0
0013600001iP7ezAAC,Arrowhead Country Club,0013600000s0SubAAE,First Tee Inland Empire,3433 Parkside Drive,CA,San Bernadino,92404,1
0013600000rztgFAAQ,Arrowhead Country Club,0013600000pYUwlAAG,First Tee Canton,1500 Rogwin Circle SW,OH,North Canton,44720,1
0013600001c1yIXAAY,Arroyo Seco Golf Course,0013600000s0SuzAAE,First Tee Greater Pasadena,1055 Lohman Lane,CA,South Pasadena,91030,1
0013600000pYWOsAAO,Artesia Country Club,0013600000pYUxYAAW,First Tee Southeastern New Mexico,2701 W Richey,NM,Artesia,88210,1
0011R00002fsAk7QAE,Arthur B. Sim Park Golf Course,0013600000s0RnCAAU,First Tee Greater Wichita,2020 W Murdock St,KS,Wichita,67203,1
0011R00002dVR6AQAW,Arthur B. Sim Park Golf Course,0013600000s0RnCAAU,First Tee Greater Wichita,2020 W Murdock St.,KS,Wichita,67203,1
0013600000pYWLbAAO,Arundel Golf Park,0013600000pYUwsAAG,First Tee Greater Baltimore,1501 Dorsey Road,MD,Glen Burnie,21061,0
0013600001c1yIAAAY,Ascarate Golf Course,0013600000s0SuaAAE,First Tee Greater El Paso,6900 Delta Avenue,TX,El Paso,79905,1
0013600000pYWJfAAO,Ash Brook Golf Course,0013600000pYUxRAAW,First Tee Raritan Valley,1210 Raritan Road,NJ,Scotch Plains,7076,1
0011R00002W1cRpQAJ,Asheville Municipal Golf Course,0013600000pYUxeAAG,First Tee Central Carolina,226 Fairway Dr.,NC,Asheville,28805,1
0013600000pYWKVAA4,Ashley Plantation,0013600000pYUxSAAW,First Tee Roanoke Valley,919 Greenfield St.,VA,Daleville,24083,1
0011R00002U7VqPQAV,Athens Country Club,0013600000pYUx5AAG,First Tee Greater Tyler,500 Park Dr,TX,Athens,75751,1
0011R000026RYeoQAG,Athens Country Club,0013600000pYUx5AAG,First Tee Greater Tyler,500 Park Dr,TX,Athens,75751,1
0013600001c1yKuAAI,Atkinson Resort & Country Club/ Willowcreek Golf Academy,0013600000s0Sv9AAE,First Tee New Hampshire,85 Country Club Drive,NH,Atkinson,3811,1
0013600000pYWOKAA4,Atlantis Golf Course,0013600000pYUxJAAW,First Tee Jersey Shore,261 Country Club Blvd.,NJ,Little Egg Harbor,8087,1
0013600001c1yItAAI,Auburn Golf Course,0013600000s0SuXAAU,First Tee Greater Seattle,29630 Green River Road SE,WA,Auburn,98092,1
0011R00002dVR7IQAW,Auburn Hills Golf Course,0013600000s0RnCAAU,First Tee Greater Wichita,443 S 135th St W,KS,Wichita,67235,1
0013600000pYWLtAAO,Audubon Golf Course,0013600000pYUwyAAG,First Tee Greater New Orleans,6500 Magazine St.,LA,New Orleans,70118,1
0013600000pYWKvAAO,Auglaize Golf Club,0013600000pYUxAAAW,First Tee Lake Erie,19062 State Route 111,OH,Defiance,43512,1
0013600001HTDjsAAH,Augusta Ranch Golf Club,0013600000s0RnDAAU,First Tee Phoenix,2401 South Lansing,AZ,Mesa,85209,1
0013600001c1yH2AAI,Aurora Hills Golf Course,0013600000s0SuMAAU,First Tee Colorado Rocky Mountains,50 South Peoria Street,CO,Aurora,80012,1
0013600001c1yKBAAY,Aviator Golf Center,0013600000s0SunAAE,First Tee Metropolitan New York,3200 Flatbush Avenue,NY,Brooklyn,11234,1
0011R00002W35CwQAJ,Avila Golf & Country Club,0013600000s0SvIAAU,First Tee Tampa Bay,943 Guisando de Avila,FL,Tampa,33613,1
001Hq000039JL8nIAG,Azalea City Municipal Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,"1000 Gaillard Dr,",AL,Mobile,36608,1
0013600001c1yMgAAI,Babe Zaharias,0013600000s0SvIAAU,First Tee Tampa Bay,11412 Forest Hills Drive,FL,Tampa,33612,0
0013600001c1yGdAAI,Back Creek Golf Course,0013600000s0SvOAAU,First Tee Delaware,101 Back Creek Drive,De,Middletown,19709,1
0013600000pYWKiAAO,Bacon Park Golf Course,0013600000pYUxVAAW,First Tee Savannah (Historical),1 Shorty Cooper Drive,GA,Savannah,31406,0
0011R00002e6jDpQAI,Bacon Park Golf Course,0011R00002dVS0hQAG,First Tee Savannah,1 Shorty Cooper Drive,GA,Savannah,31406,1
001Hq000039SgqIIAS,Bahama Golf,0013600000s0SubAAE,First Tee Inland Empire,"2780 Cabot Dr #160-5
 California",CA,Corona,92883,1
0013600001c1yOOAAY,Baker National,0013600000s0SvHAAU,First Tee Minnesota,2935 Parkview Drive,MN,Medina,55340,1
0013600001c1yHYAAY,Balcones Country Club,0013600000s0SuUAAU,First Tee Greater Austin,8600 Balcones Club Dr.,TX,Austin,78750,1
0013600000pYWIJAA4,Bangor Municipal Golf Course,0013600000pYUxEAAW,First Tee Maine (Historical),278 Webster Ave.,ME,Bangor,4401,0
0011R00002fovYWQAY,Banyan Cay Resort & Golf,0013600000s0SuOAAU,First Tee Florida Gold Coast,"1900 Banyan Club Rd,",FL,West Palm Beach,33401,0
0011R00002Q4gY2QAJ,Barefoot Resort Driving Range,0013600000pYUwkAAG,First Tee Coastal Carolinas,2051 Golf Academy Way,SC,North Myrtle Beach,29582,1
0013600000pYWIqAAO,Barnes Brook Golf Course,0013600000pYUxEAAW,First Tee Maine (Historical),1886 Maine Road Route 2,ME,West Enfield,4493,0
0011R00001zgjU2QAI,Barrington Park District-Langendorf Park,0013600000pYUwuAAG,First Tee Greater Chicago,235 Lions Drive,IL,Barrington,60010,1
0013600000pYWMFAA4,Bartram Trail Golf Club,0013600000pYUwiAAG,First Tee Augusta,470 Bartram Trail Club Drive,GA,Evans,30809,0
0013600000pYWOHAA4,Battleground Country Club,0013600000pYUxJAAW,First Tee Jersey Shore,1 Covenhoven Rd.,NJ,Manalapan,7726,0
0011R000026UbyzQAC,Battleground Golf Club,0013600000pXnGGAA0,First Tee Indiana,5505 Pretty Prairie Road,IN,Battleground,47920,0
00136000014EbFGAA0,Battleground Golf Course at Deer Park,0013600000pXnGBAA0,First Tee Greater Houston,1600 Georgia Avenue,TX,Deer Park,77536,1
0013600001c1yK8AAI,Bay Park GC,0013600000s0SunAAE,First Tee Metropolitan New York,1 1st Avenue,NY,East Rockaway,11518,1
0013600001iSCuSAAW,Bay Pointe Resort & Golf Club,0013600000s0SvTAAU,First Tee Central Mississippi,800 Bay Pointe Drive,MS,Brandon,39047,1
0013600001c1yJWAAY,Bay View Golf Course,0013600000s0DYFAA2,First Tee Hawaii,45-285 Kaneohe Bay Drive,HI,Kaneohe,96744,0
0013600001c1yM8AAI,Baylands Golf Links,0013600000s0SvSAAU,First Tee Silicon Valley,1875 Embarcadero Road,CA,Palo Alto,94303,1
0013600001c1yJ7AAI,Baylinks Golf,0013600000pYUx4AAG,First Tee Greater Trenton,8 Pheasant Run,PA,Newton,18940,1
0011R00002qFTrDQAW,Bayonet at Puppy Creek,0013600000pYUxdAAG,First Tee Sandhills,349 S Parker Church Rd.,NC,Raeford,28376,1
0013600000pYWLqAAO,Bayou Barriere Golf Club,0013600000pYUwyAAG,First Tee Greater New Orleans,7427 Louisiana 23,LA,Belle Chasse,70037,0
0013600001FLpUxAAL,Bayou Golf Club,0013600000pXnGBAA0,First Tee Greater Houston,2800 Ted Dudley Drive,TX,Texas City,77591,1
0013600000pYWJSAA4,Baywood Golf Club,0013600000pYUxdAAG,First Tee Sandhills,904 Four Wood Drive,NC,Fayetteville,28312,1
001Hq000035dZiCIAU,bbbTest Location,0011R00002oM2hNQAS,Testing Chapter NEW REG,4359 Angus Circle,CO,Denver,80211,1
0013600000pXnIaAAK,Beacon Lakes Golf Club,0013600000pXnGBAA0,First Tee Greater Houston,801 FM646,TX,Dickinson,77539,0
0013600000pYWLQAA4,Beacon Ridge Golf Club,0013600000pYUxdAAG,First Tee Sandhills,238 Longleaf Drive,NC,West End,27376,1
0013600001c1yGkAAI,Bear Trap Golf Club,0013600000s0SvOAAU,First Tee Delaware,7 Club House Drive,DE,Ocean View,19970,1
0013600001rKXpcAAG,Beau Rivage Country Club,0013600000s0SvQAAU,First Tee Greater Wilmington,649 Rivage Promenade,NC,Wilmington,28412,1
0013600000pYWI7AAO,Beaver Brook Country Club,0013600000pYUxRAAW,First Tee Raritan Valley,25 Country Club Drive,NJ,Annandale,8801,1
0013600001c1yH9AAI,Beaver Creek Golf Course,0013600000s0SuQAAU,First Tee East Baton Rouge Parish,1100 Plains Port Hudson Road,LA,Zachary,70791,1
0013600001c1yKxAAI,Beaver Meadow Golf Course,0013600000s0Sv9AAE,First Tee New Hampshire,1 Beaver Meadow Road,NH,Concord,3301,1
0013600000pYWKrAAO,Bedford Hills Golf Club,0013600000pYUxAAAW,First Tee Lake Erie,6400 Jackman Rd.,MI,Temperance,48182,0
0011R00002cLWUNQA4,Beech Woods Golf Course,0013600000s0SupAAE,First Tee Greater Detroit,22000  Beech Road,MI,Southfield,48033,1
001Hq00003AfbGzIAJ,Bel-Aire Golf Course,0013600000pYUxJAAW,First Tee Jersey Shore,3120 Allaire Road,NJ,Wall,7719,1
0011R000031YmKqQAK,Belfair Golf Club,0013600000s0SufAAE,First Tee The Lowcountry,200 Belfair Oaks Blvd.,SC,Bluffton,29910,1
0011R00002e6xjEQAQ,Belle Isle Golf,0013600000s0SupAAE,First Tee Greater Detroit,175 Lakeside DR.,MI,Detroit,48207,1
0013600001c1yIuAAI,Bellevue Golf Course,0013600000s0SuXAAU,First Tee Greater Seattle,5500 140th Avenue NE,WA,Bellevue,98005,1
0013600000rzthgAAA,Belmont Country Club,0013600000pYUwrAAG,First Tee Fresno,8253 E Belmont Ave,CA,Fresno,93737,1
0011R00002YTx2pQAD,Belmont Golf Course,0013600000pYUx1AAG,First Tee Greater Richmond,1600 Hillard Road,Virginia,Henrico,23228,1
0013600001c1yJLAAY,Belvedere Country Club,0013600000s0SvQAAU,First Tee Greater Wilmington,2368 Country Club Road,NC,Hampstead,28443,1
0013600001c1yHPAAY,Benbrook Driving Range,0013600000s0SuTAAU,First Tee Fort Worth,1801 Winscott Road,TX,Benbrook,76126,1
0013600001c1yHNAAY,Benbrook Par 3 Course,0013600000s0SuTAAU,First Tee Fort Worth,1590 Beach road,TX,Benbrook,76126,1
0013600000pYWM5AAO,Bensalem Country Club,0013600000pYUwzAAG,First Tee Greater Philadelphia,2000 Brown Ave.,PA,Bensalem,19020,1
0011R00002SNUXVQA5,Bent Pine Golf Club,0013600000s0SvPAAU,First Tee West Michigan,2480 Duck Lake Rd,MI,Whitehall,49461,1
0013600001c1yI2AAI,Bent Tree Country Club,0013600000s0SuKAAU,First Tee Greater Dallas,5201 Westgrove Dr.,TX,Dallas,75248,0
0013600000pYWLlAAO,Berkeley Country Club,0013600000pYUwtAAG,First Tee Greater Charleston,772 Exeter Plantation Road,SC,Moncks Corner,29461,1
0011R00002e7HesQAE,Berkshire GC,0011R00002e5xbKQAQ,First Tee Greater Topeka,3720 SW 45th Street,KS,Topeka,66610,1
0011R00002oN2g3QAC,Berkshire Golf Club,0011R00002e5xbKQAQ,First Tee Greater Topeka,3720 SW 45th Street,KS,Topeka,66610,1
0013600001c1yJoAAI,Bethlehem Municipal Golf Course,0013600000s0SuiAAE,First Tee Lehigh Valley & Berks,400 Illicks Mill Road,PA,Bethlehem,18017,1
0013600001c1yIKAAY,Beverly Park Par Three Golf Course,0013600000pYUxIAAW,First Tee Tennessee,5311 Beverly Park Cir.,TN,Knoxville,37918,1
0013600000pYWOLAA4,Bey Lea Golf Course,0013600000pYUxJAAW,First Tee Jersey Shore,1536 North Bay Avenue,NJ,Toms River,8753,1
0011R00002mhpFyQAI,Big Swing Golf Center,0013600000pYUwzAAG,First Tee Greater Philadelphia,312 Salina Rd,NJ,Sewell,8080,1
0011R000031YwOpQAK,BigShots Golf Firestone,0013600000s0Su6AAE,First Tee Greater Akron,600 Swartz Road,OH,Akron,44319,1
0011R000031ZZ3dQAG,Biltmore Forest Country Club,0013600000pYUxeAAG,First Tee Central Carolina,31 Stuyvesant Rd.,NC,Asheville,28803,1
0013600001c1yIcAAI,Bing Maloney Golf Complex,0013600000s0Sv6AAE,First Tee Greater Sacramento,6801 Freeport Blvd,CA,Sacramento,95822,1
0013600001hZpbUAAS,Birchwood Farms Golf and Country Club,0013600000s0SuCAAU,First Tee Northern Michigan,600 Birchwood Drive,MI,Harbor Springs,49740,1
0011R000026SV42QAG,Birck Boilermaker Golf Complex,0013600000pXnGGAA0,First Tee Indiana,1300 Cherry Lane,IN,West Lafayette,47907,1
0011R000031awxEQAQ,Birdies & Buckets Family Golf Centre,0011R00002azqbjQAA,First Tee British Columbia,5228 King George Blvd,BC,Surrey,V3S 9M1,1
0013600001c1yJHAAY,Birdies and Buckets,0013600000s0SumAAE,First Tee Greater Vancouver (Historical),5228 King George Blvd.,BC,Surrey,V3S9M1,0
0013600000s0RrvAAE,Birdwood Golf Course,0013600000s0RnAAAU,First Tee Virginia Blue Ridge,410 Golf Course Drive,VA,Charlottesville,22903,1
0013600001c1yJDAAY,Birmingham Forest Golf Club,0013600000pYUx5AAG,First Tee Greater Tyler,875 Copeland St.,TX,Rusk,75785,1
0013600001da8TsAAI,Bishops Bay Country Club,0013600000pYUxWAAW,First Tee South Central Wisconsin,3500 Bishops Bay Drive,WI,Middleton,53562,1
0011R00002YTwtTQAT,Black Brook Golf Course,0013600000pYUwoAAG,First Tee Cleveland,8900 Lakeshore Blvd.,Ohio,Mentor,44060,1
0011R00002oNVTPQA4,Black Elk Elementary,0013600000s0SuxAAE,First Tee Omaha,6708 S 161st Ave,NE,Omaha,68135,1
0013600001c1yFGAAY,Black Hawk Golf Course,0013600000pYUxQAAW,First Tee Pittsburgh,644 Blackhawk Road,PA,Beaver Falls,15010,1
0013600000pYWOaAAO,Black Mesa Golf Club,0013600000pYUxTAAW,First Tee Central New Mexico (Historical),115 State Road 399,NM,La Mesilla,87532,0
0013600000pYWKAAA4,Blackhawk Golf Course,0013600000pYUxWAAW,First Tee South Central Wisconsin,2100 Palmer Dr.,WI,Janesville,53545,1
0013600001q0iYpAAI,Blackhawk Golf Course,0013600000s0SuUAAU,First Tee Greater Austin,2714 Kelly Lane,TX,Pflugerville,78660,1
0013600000pXnItAAK,BlackHorse Golf Club,0013600000pXnGBAA0,First Tee Greater Houston,16680 House & Hahl Rd.,TX,Cypress,77433,0
0013600001c1yFTAAY,Blacklake Golf Resort,0013600000s0SuFAAU,First Tee Central Coast,1490 Golf Course Lane,CA,Nipomo,93444,1
0013600000pXnGxAAK,Blacklick Woods Golf Course,0013600000pXnGJAA0,First Tee Central Ohio,7309 E. Livingston Ave.,OH,Reynoldsburg,43068,1
0013600000rztgxAAA,Blackstone Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,108 Blackstone Lane,FL,Defuniak Springs,32433,1
0013600000pYWOAAA4,Blackthorn Club,0013600000pYUxIAAW,First Tee Tennessee,1501 Ridges Club Dr.,TN,Jonesborough,37659,1
0011R00002utYHYQA2,Blomidon Golf Club,0011R00002oOfVSQA0,First Tee Atlantic,1 West Valley Rd,,"Corner Brook, Newfoundland",A2H 7S8,1
0013600001gpHKhAAM,Blossom Trails Golf Club,0013600000pYUwjAAG,First Tee Benton Harbor,1565 East Britain Avenue,MI,Benton Harbor,49022,1
0011R000035bj9CQAQ,Blue Bear Golf Club,0013600000pXnGGAA0,First Tee Indiana,2660 N Riley Hwy,IN,Shelbyville,46176,1
0011R000035bHiYQAU,Blue Bear Golf Course,0013600000pXnGGAA0,First Tee Indiana,2660 N Riley Hwy,IN,Shelbyville,46176,1
0013600001c1yIrAAI,Blue Heron Golf Course,0013600000s0SuXAAU,First Tee Greater Seattle,1810 West Snoqualmie River Road,WA,Carnation,98014,1
0013600000pYWL8AAO,Blue Hills Golf Course,0013600000pYUxSAAW,First Tee Roanoke Valley,2002 Blue Hills Drive NE,VA,Roanoke,24012,1
0011R000026RkI9QAK,Blue Springs Golf Club,0013600000pYUwvAAG,First Tee Greater Kansas City,1600 NW Circle Drive,MO,Blue Springs,64014,1
0013600000pYWIkAAO,Bluewater Bay Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,2000 Bluewater Blvd.,FL,Niceville,32578,1
0011R00002V8on8QAB,Bluff Pointe Golf Course,0013600000pYUwrAAG,First Tee Fresno,8225 N Milburn Ave,CA,Fresno,93722,1
0011R00002t8QEkQAM,Bob O Link Golf Club,0013600000pYUxhAAG,First Tee Western New York,4085 Transit Road,NY,Orchard Park,14127,1
0013600000pYWJhAAO,Bobby Nichols Golf Course,0013600000pYUxDAAW,First Tee Louisville,4301 East Pages Lane,KY,Louisville,40272,1
0011R00002ykBZ9QAM,Boca Lago Golf and Country Club,0013600000s0SuOAAU,First Tee Florida Gold Coast,8665 Juego Way,FL,Boca Raton,33433,1
0011R000031bBDyQAM,Boca Raton Golf and Racquet Club,0013600000s0SuOAAU,First Tee Florida Gold Coast,17751 Boca Club Blvd,FL,Boca Raton,33487,1
0011R00002NR54wQAD,Boca Raton Municipal Golf Course,0013600000s0SuOAAU,First Tee Florida Gold Coast,8111 GOLF COURSE RD,FL,Boca Raton,33434,0
0013600001hWd1IAAS,Bonnie Brae Golf Course,0013600000pYUxZAAW,First Tee Upstate South Carolina,1116 Ashmore Bride Road,SC,Greenville,29605,0
0013600000pYWK0AAO,Bonnie Brook Golf Course,0013600000pYUwuAAG,First Tee Greater Chicago,2800 North Lewis Ave.,IL,Waukegan,60087,1
0013600000pYWIbAAO,Boomfield Links,0013600000pYUxIAAW,First Tee Tennessee,1207 Walter Hale Court,TN,Murfreesboro,37129,1
0013600000pYWLCAA4,Boothbay Harbor Country Club,0013600000pYUxEAAW,First Tee Maine (Historical),33 Country Club Rd.,ME,Boothbay,4537,0
0011R00002LfN8nQAF,Botetourt Country Club,0013600000pYUxSAAW,First Tee Roanoke Valley,2414 Country Club Road,VA,Troutville,24175,1
0013600000pYWI3AAO,Botetourt Country Club,0013600000pYUxSAAW,First Tee Roanoke Valley,2414 Country Club Rd.,VA,Troutville,24175,1
0011R00002wVfcsQAC,Boulder Creek Golf Club,0013600000s0SvPAAU,First Tee West Michigan,5750 Brewer Ave NE,MI,Belmont,49306,1
0013600000pYWJ1AAO,Boundary Oak Golf Course,0013600000pYUwqAAG,First Tee Contra Costa,3800 Valley Vista Road,CA,Walnut Creek,94598,1
0011R000031aGhjQAE,Bowen Island Golf Club,0011R00002azqbjQAA,First Tee British Columbia,810 Beach Drive,BC,Bowen Island,V0N 1G2,1
0011R00002axoJkQAI,Bowling Green Country Club,0013600000pYUx7AAG,First Tee Shenandoah Valley,North 838 Bowling Green Road,VA,Front Royal,22630,1
0013600001hZpaMAAS,Boyne Highlands The Ross Course,0013600000s0SuCAAU,First Tee Northern Michigan,600 Highlands Drive,MI,Harbor Springs,49740,1
0013600001c1yL1AAI,Boyne Mountain,0013600000s0SuCAAU,First Tee Northern Michigan,1 Boyne Mountain Rd.,MI,Boyne Falls,49713,0
0011R00002e6YPZQA2,Boys & Girls Club of Central Virginia - Cherry Avenue Club,0013600000s0RnAAAU,First Tee Virginia Blue Ridge,1000 B Cherry Avenue,VA,Charlottesville,22903,1
0011R00002Q3hKIQAZ,Boys & Girls Club of Holland,0013600000s0SvPAAU,First Tee West Michigan,583 Riley St,MI,Holland,49424,1
0011R000031a54YQAQ,Boys & Girls Club of Southeastern Michigan: Lloyd H. Diehl Club,0013600000s0SupAAE,First Tee Greater Detroit,4242 Collingwood Street,MI,Detroit,48204,1
