Account ID,Account Name,Parent Account ID,Parent Account,Billing Street,Billing State/Province,Billing City,Billing Zip/Postal Code,Active?
0011R00002JfMZzQAN,The Links at Fox Meadows,0013600000pYUxIAAW,First Tee Tennessee,3064 Clarke Rd,TN,Memphis,38115,1
0011R00002JfMZuQAN,The Links at Fox Meadows,0013600000pYUxIAAW,First Tee Tennessee,3064 Clarke Rd,TN,Memphis,38115,1
0011R00002JfMa0QAF,The Links at Galloway,0013600000pYUxIAAW,First Tee Tennessee,3815 Walnut Grove Rd,TN,Memphis,38111,1
0011R00002NSbSrQAL,The Links at Heartland Crossing,0013600000pXnGGAA0,First Tee Indiana,6701 E Heartland Blvd,Indiana,Camby,46113,1
0013600001c1yJyAAI,The Links at Mass Golf,0013600000s0SukAAE,First Tee Massachusetts,300 West Main Street,MA,Norton,2766,1
0011R00002JfbJnQAJ,The Links at Overton Park,0013600000pYUxIAAW,First Tee Tennessee,2080 Poplar Ave,TN,Memphis,38104,1
0011R00002JfMa9QAF,The Links at Pine Hill,0013600000pYUxIAAW,First Tee Tennessee,1005 Alice Ave,TN,Memphis,38106,1
0011R00002JfbJiQAJ,The Links at Riverside,0013600000pYUxIAAW,First Tee Tennessee,465 South Parkway West,TN,Memphis,38109,1
0013600000pYWOtAAO,The Links at Sierra Blanca,0013600000pYUxYAAW,First Tee Southeastern New Mexico,105 Sierra Blanca Drive,NM,Ruidoso,88345,1
0013600001B0F2MAAV,The Links at Springdale,0013600000pYUxMAAW,First Tee Northwest Arkansas,4097 Links Drive,AR,Springdale,72762,1
0013600001c1yFyAAI,The Links Golf Course,0013600000pYUwoAAG,First Tee Cleveland,26111 John Rd.,OH,Olmsted Falls,44138,0
0013600001c1yIRAAY,The Links of Spruce Creek South,0013600000s0SuvAAE,First Tee Greater Ocala (Historical),18050 SE 102nd Terrace,FL,Summerfield,34491,0
0011R000035biwyQAA,The Little Club,0013600000s0SuOAAU,First Tee Florida Gold Coast,100 Little Club Road,FL,Gulf Stream,33483,1
0011R00002SOfodQAD,The Mackinaw Club Golf Course,0013600000s0SuCAAU,First Tee Northern Michigan,11891 Mackinaw HWY,MI,Carp Lake,49718,1
0011R000031aY4NQAU,The Marshes Golf Club,0011R00002e5u9CQAQ,First Tee Ontario,320 Terry Fox Drive,Ontario,Kanata,K2K 3L1,1
0013600001c1yLzAAI,The Meadows Country Club,0013600000pYUxUAAW,First Tee Sarasota/Manatee,3101 Longmeadow,FL,Sarasota,34235,1
0011R00002e6PGRQA2,The Medows Country Club,0013600000s0SuuAAE,First Tee Siouxland,1483 Humbolt Ave,IA,Moville,51039,1
0011R00002e60oXQAQ,The Mines Golf Club,0013600000s0SvPAAU,First Tee West Michigan,330 Covell Ave. SE,MI,Grand rapids,49534,1
0011R00002iSgTBQA0,The Mission Club,0013600000s0SuFAAU,First Tee Central Coast,4300 Clubhouse Rd,CA,Lompoc,93436,1
0013600000pYWIFAA4,The Missouri Bluffs,0013600000pYUx3AAG,First Tee Greater St. Louis,18 Research Park Circle,MO,St. Charles,63304,1
0013600000pYWJVAA4,The Moorings Country Club,0013600000pYUxKAAW,First Tee Naples/Collier,2500 Crayton Road,FL,Naples,34103,1
0013600000pYWLWAA4,The New Mexico Military Institute Golf Course,0013600000pYUxYAAW,First Tee Southeastern New Mexico,201 West 19th Street,NM,Roswell,88201,1
001Hq000039ShzBIAS,The Ocean Course at Hokuala,0013600000s0DYFAA2,First Tee Hawaii,3351 Ho'Olaulea Way,HI,Lihue,96766,1
0013600001c1yNJAAY,The PGA Center for Golf Learning and Performance,0013600000s0SuOAAU,First Tee Florida Gold Coast,8565 Commerce Centre Drive,FL,Port St. Lucie,34997,0
0013600001c1yOGAAY,The Pines Golf Course at Fort Eustis,0013600000s0SuRAAU,First Tee Virginia Peninsula,3518 Mulberry Island Road,VA,Fort Eustis,23604,0
0013600001c1yG5AAI,The Players Club at St. James Plantation,0013600000pYUwkAAG,First Tee Coastal Carolinas,3640 Players Club Drive,NC,Southport,28461,1
0013600001c1yO9AAI,The Ponds at Battle Creek,0013600000s0SvHAAU,First Tee Minnesota,601 Century Avenue South,MN,Maplewood,55119,1
0011R00002RFbJ7QAL,The Preserve at Verdae Golf Club,0013600000pYUxZAAW,First Tee Upstate South Carolina,650 Verdae Blvd.,SC,Greenville,29607,1
0013600001c1yM1AAI,The Preserve Golf Club,0013600000pYUxUAAW,First Tee Sarasota/Manatee,7310 Tara Preserve Lane,FL,Bradenton,34203,0
0011R00002qIlvmQAC,The Ranch Golf Club,0013600000s0SukAAE,First Tee Massachusetts,65 Sunnyside Road,MA,Southwick,1077,1
001Hq00003AcOm0IAF,The Ranches,0013600000s0SvNAAU,First Tee Utah,4128 East Clubhouse Ln,UT,Eagle Mountain,84005,1
00136000014F3GiAAK,The Refuge,0013600000s0SvTAAU,First Tee Central Mississippi,2100 Refuge Blvd,MS,Flowood,39232,0
0013600001c1yLiAAI,The Reserve at Spanos Park,0013600000s0SugAAE,First Tee San Joaquin,6301 W. Eight Mile Road,CA,Stockton,95219,1
0011R000031Z5EgQAK,The Reserve Club at St James,0013600000pYUwkAAG,First Tee Coastal Carolinas,4061 Wyndmere Dr,NC,Southport,28461,1
0013600001c1yG6AAI,The Reserve Club at St. James Plantation,0013600000pYUwkAAG,First Tee Coastal Carolinas,4061 Wyndmere Drive,NC,Southport,28461,1
0013600001c1yF8AAI,The Reserve Club at Woodside Plantation,0013600000s0Su5AAE,First Tee Aiken,3000 The Reserve Club Drive,SC,Aiken,29803,1
0011R00002DnNhxQAF,The River Club,0013600000pYUx9AAG,First Tee Idaho,6515 W State Street,ID,Boise,83714,1
0011R00002JfbK2QAJ,The River Club Golf & Learning Center,0013600000pYUxIAAW,First Tee Tennessee,1150 Warfield Blvd,TN,clarksville,37043,1
